Site;Catégorie;Latitude;Longitude
DEEP_SFN;Deep;78,245;12,495
WAL_POO;Walrus;78,426;11,925
SHA_SAR;Shallow;78,698;11,26
WAL_GUL;Walrus;79,566;10,8
SHA_SCH;Shallow;79,65;11,04
GLA_FUG;Glacier;79,754;11,504
WAL_SME;Walrus;79,734;10,901
GLA_SME;Glacier;79,617;11,511
GLA_LIL;Glacier;79,347;11,73
HAR_NYA;Harbor;78,945;11,881
GLA_KON;Glacier;78,943;11,881
DEEP_KON;Deep;79,005;11,361
GLA_DAH;Glacier;78,574;12,426
GLA_IME;Glacier;78,294;13,954
HAR_BAR;Harbor;78,074;14,181
HAR_LON;Harbor;78,25;15,548